;Новослободская;Проспект мира К;Комсомольская;Курская К;Таганская К;Павелецкая К;Добрынинская;Октябрьская К;Парк Культуры К;Киевская К;Краснопресненская;Белорусская К;Баррикадная;Пушкинская Ф;Кузнецкий Мост;Китай-город Ф;Таганская Ф;Белорусская З;Маяковская;Тверская;Театральная;Новокузнецкая;Павелецкая З;Проспект Мира О;Сухаревская;Тургеневская;Китай- город О;Третьяковская О;Октябрьская О;Менделеевская;Цветной Бульвар;Чеховская;Боровицкая;Полянка;Серпуховская;Третьяковская Ж;Марксисткая;Киевская Г;Смоленская Г;Арбатская Г;Александровский сад;Киевская С;Смоленская С;Арбатская С;Площадь революции;Курская;Парк Культуры Кр;Кропотинсая;Библиотека им. Ленина;Охотный ряд;Лубянка;Чистые пруды;Красные Ворота;Комсомольская Кр;Трубная;Сретенский Бульвар;Чкаловская
Смоленская С;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;
Арбатская С;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;3;;2;;;;;;;;;;;;;;
Площадь революции;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
Курская;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
Парк Культуры Кр;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кропотинсая;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
Библиотека им. Ленина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;3;;;5;;;;2;;;;;;;;;
Охотный ряд;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;10;;;;2;;;;;;;;
Лубянка;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
Чистые пруды;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
Красные Ворота;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
Комсомольская Кр;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
Трубная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Сретенский Бульвар;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;3;;
Чкаловская;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;3;
